Заказ;ДЕТСКОЕ ПИТАНИЕ;ЖЕНСКИЕ ШТУЧКИ;ИГРУШКИ;КАНЦТОВАРЫ, КНИГИ, ДИСКИ;КОСМЕТИКА/ГИГИЕНА;КРУПНОГАБАРИТНЫЙ ТОВАР;ОБУВЬ;ПОДГУЗНИКИ;СОПУТСТВУЮЩИЕ ТОВАРЫ;ТЕКСТИЛЬ, ТРИКОТАЖ;ТЕХНИКА И ТОВАРЫ ДЛЯ ДОМА;ТОВАРЫ ДЛЯ ЖИВОТНЫХ;ТОВАРЫ ДЛЯ КОРМЛЕНИЯ
1303000313_TR;0;0;1;0;0;0;0;0;0;0;0;0;0
1303000319_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1303000321_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1303000323_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1303000324_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1303000325_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1303000326_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1303000327_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1303000335_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1303000336_TR;0;0;1;0;0;0;0;0;0;0;0;0;0
1303000338_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1303000339_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1303000340_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1303000341_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1303000343_TR;0;0;0;0;0;2;0;0;0;0;0;0;0
1303000345_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1303000347_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1303000349_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1303000350_TR;0;0;0;0;0;2;0;0;0;0;0;0;0
1303000351_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1305001058_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1305001076_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1305001079_TR;0;0;0;0;0;0;0;0;0;0;0;0;1
1305001082_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1305001098_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1305001101_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1305001102_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1305001104_TR;0;0;1;0;0;0;0;0;0;0;0;0;0
1305001109_TR;0;0;1;0;0;0;0;0;0;0;0;0;0
1305001114_TR;0;0;0;0;0;2;0;0;0;0;0;0;0
1305001117_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1306000841_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1306000842_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1306000844_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1306000858_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1306000867_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1306000869_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1856000671_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1856000673_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1856000674_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1856000675_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1856000676_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1856000677_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1856000678_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1856000679_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1856000683_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1856000684_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1856000687_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1856000688_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1856000689_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1856000690_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1856000693_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1856000694_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1856000700_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1856000701_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1856000703_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1856000705_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1856000706_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1856000707_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1862001090_TR;0;0;1;0;0;0;0;0;0;0;0;0;0
1862001092_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1862001093_TR;0;0;1;0;0;0;0;0;0;0;0;0;0
1862001094_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1862001098_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1862001101_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1862001106_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1862001121_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1862001122_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1862001123_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1862001128_TR;0;0;1;0;0;0;0;0;0;0;0;0;0
1863000733_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1863000738_TR;0;0;0;0;0;2;0;0;0;0;0;0;0
1863000743_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1863000745_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1863000746_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1863000748_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1863000751_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1865000561_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1865000562_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1865000563_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1865000565_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1865000567_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1865000570_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1865000578_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1865000581_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1865000583_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1865000589_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1865000590_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1866001072_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1866001073_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1866001075_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1866001077_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1866001086_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1866001095_TR;0;0;0;0;0;2;0;0;0;0;0;0;0
1866001097_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1866001105_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1866001106_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1866001112_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1866001115_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1866001117_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1866001118_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1866001123_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1866001126_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1866001128_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1866001137_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1866001138_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1866001140_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1866001145_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1866001150_TR;0;0;0;0;0;2;0;0;0;0;0;0;0
1866001152_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1866001164_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1866001173_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002517_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002518_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002519_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002520_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002521_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002524_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002525_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
