ГородМагазина;Выручка;Абсолютная маржа;Маржа;Средняя маржа;Средний чек;Кол-во чеков;Кол-во товаров;Среднее кол-во товаров в  чеке;Кол-во уникальных клиентов;Ценность клиента
ИнтернетДоставка;369529708;121806886;0.3296267752307482;953.3442332978524;3187;127768;428177;3;89358;1363
Москва;3157118;1136901;0.36010722437362175;2835.1645885286785;8259;401;490;1;390;2915
Киров;558138;161608;0.2895484629249397;2835.2280701754385;9792;57;59;1;50;3232
Тула;462300;157069;0.33975556997620593;3830.951219512195;11412;41;47;1;40;3927
Челябинск;809219;251517;0.3108145013896115;4123.229508196721;13266;61;64;1;57;4413
Калуга;2648099;891458;0.3366407373742447;3623.8130081300815;10828;246;264;1;211;4225
Красногорск;457785;163546;0.3572550433063556;3716.9545454545455;11187;44;49;1;43;3803
Саратов;1317836;436610;0.33130829632822295;3384.5736434108526;10324;129;154;1;117;3732
Омск;1534189;458890;0.29910917103433804;4025.3508771929824;14976;114;127;1;104;4412
Волжский;278177;98088;0.35261002886651305;4087.0;12042;24;24;1;21;4671
Орехово-Зуево;608062;215829;0.3549457127727107;3854.089285714286;11120;56;64;1;55;3924
Курск;347713;117218;0.33711135332875103;3084.684210526316;9674;38;43;1;37;3168
Железнодорожный;356583;127176;0.3566518874988432;3346.7368421052633;9516;38;40;1;35;3634
Павловский;198744;74784;0.3762830576017389;2266.181818181818;6686;33;37;1;33;2266
Орел;611421;201446;0.3294718369176067;3357.4333333333334;12755;60;63;1;59;3414
Сергиев;59159;15784;0.2668064030832164;1753.7777777777778;6573;9;9;1;9;1754
Ростов-на-Дону;1802378;577066;0.3201692430777562;3872.9261744966443;12727;149;159;1;104;5549
Волгоград;301674;90860;0.30118604851594766;2930.967741935484;9731;31;36;1;31;2931
Жуковский;794129;256606;0.32312886193552937;3054.8333333333335;10029;84;98;1;83;3092
Тюмень;621729;186300;0.2996482390237547;3963.8297872340427;13228;47;51;1;45;4140
Екатеринбург;262106;88162;0.33636009858606825;2843.935483870968;9691;31;33;1;31;2844
Ярославль;562044;186488;0.3318032040196141;3729.76;11415;50;52;1;49;3806
Балаково;165929;57345;0.34559962393553867;2730.714285714286;7901;21;22;1;20;2867
Новомосковск;199512;70054;0.35112674926821447;2802.16;8600;25;29;1;25;2802
Ногинск;145872;49647;0.34034633102994405;2482.35;8637;20;21;1;20;2482
Ижевск;143107;43134;0.3014108324540379;2875.6;9635;15;17;1;14;3081
Старый;699502;238568;0.341054064177086;3457.5072463768115;10927;69;75;1;66;3615
Электросталь;228142;73950;0.32414022845420837;2465.0;8396;30;31;1;30;2465
Иваново;361928;126762;0.35024093189805705;3091.756097560976;9240;41;41;1;40;3169
Таганрог;216510;64585;0.2983003094545287;3399.2105263157896;11395;19;20;1;16;4037
Воронеж;698024;228677;0.3276062141129818;3266.8142857142857;10000;70;78;1;67;3413
Подольск;117522;46136;0.39257330542366536;2563.1111111111113;6307;18;20;1;17;2714
