ГородМагазина;Выручка;Абсолютная маржа;Маржа;Средняя маржа;Средний чек;Кол-во чеков;Кол-во товаров;Среднее кол-во товаров в  чеке;Кол-во уникальных клиентов;Ценность клиента
ИнтернетДоставка;209159989;62114412;0.2969708130937031;848.1635852199798;2950;73234;213299;3;55919;1111
Киров;481549;137512;0.28556180160274447;2594.566037735849;9086;53;55;1;46;2989
Тула;462300;157069;0.33975556997620593;3830.951219512195;11412;41;47;1;40;3927
Калуга;2648099;891458;0.3366407373742447;3623.8130081300815;10828;246;264;1;211;4225
Красногорск;438356;159484;0.3638230114336293;3797.2380952380954;10437;42;47;1;41;3890
Саратов;1130029;362498;0.32078645769267866;3124.9827586206898;9854;116;141;1;104;3486
Челябинск;557620;182287;0.32690183278935475;3797.6458333333335;11617;48;51;1;45;4051
Омск;1409911;421376;0.29886709161074704;4131.137254901961;14417;102;115;1;94;4483
Волжский;257887;93376;0.36208106651362804;4244.363636363636;12214;22;22;1;19;4915
Орехово-Зуево;580663;208474;0.35902752543213534;3933.4716981132074;11026;53;61;1;52;4009
Курск;347713;117218;0.33711135332875103;3084.684210526316;9674;38;43;1;37;3168
Железнодорожный;348318;124886;0.35854018454400866;3375.2972972972975;9493;37;39;1;34;3673
Павловский;189845;71870;0.37857199294161026;2318.3870967741937;6544;31;35;1;31;2318
Сергиев;56912;15042;0.264302783244307;1880.25;7114;8;8;1;8;1880
Ростов-на-Дону;1483665;475179;0.3202737814803207;3683.5581395348836;11694;129;136;1;94;5055
Жуковский;743388;236773;0.31850527584518445;3035.551282051282;9533;78;92;1;77;3075
Тюмень;565233;172492;0.3051697264667845;4207.121951219512;13786;41;45;1;40;4312
Москва;1450969;502780;0.34651326113790165;2371.603773584906;6905;212;222;1;207;2429
Ярославль;551055;183949;0.33381241436880166;3754.061224489796;11246;49;51;1;48;3832
Балаково;165929;57345;0.34559962393553867;2730.714285714286;7901;21;22;1;20;2867
Новомосковск;167823;58183;0.346692646419144;2644.681818181818;7628;22;26;1;22;2645
Ногинск;119170;41088;0.3447847612654191;2416.9411764705883;7010;17;18;1;17;2417
Ижевск;143107;43134;0.3014108324540379;2875.6;9635;15;17;1;14;3081
Старый;645932;223472;0.34596830626134023;3438.0307692307692;10431;65;67;1;63;3547
Электросталь;205342;67953;0.3309259674104664;2343.206896551724;7081;29;30;1;29;2343
Орел;479392;157382;0.3282950070088779;3026.576923076923;9836;52;54;1;51;3086
Иваново;344929;121114;0.351127333451232;3027.85;8623;40;40;1;39;3105
Таганрог;216510;64585;0.2983003094545287;3399.2105263157896;11395;19;20;1;16;4037
Воронеж;682237;223819;0.32806634644559;3291.455882352941;10062;68;76;1;65;3443
Подольск;109542;41298;0.3770060798597798;2429.294117647059;6444;17;19;1;16;2581
Екатеринбург;226947;75339;0.33196737564277123;3013.56;9675;25;26;1;25;3014
Смоленск;374582;120120;0.3206774484625529;3336.6666666666665;10405;36;36;1;36;3337
Орск;284826;92138;0.3234887264505347;3177.1724137931033;9822;29;35;1;29;3177
Тамбов;523704;170548;0.32565724149519576;3707.5652173913045;11385;46;50;1;42;4061
Брянск;192300;66481;0.34571502860114406;2770.0416666666665;8954;24;25;1;23;2890
Волгоград;288374;87987;0.3051141919867949;2932.9;9612;30;35;1;30;2933
Мытищи;77343;33535;0.4335880428739511;2395.3571428571427;5742;14;15;1;14;2395
Самара;158247;41570;0.2626906039293004;2309.4444444444443;10269;18;19;1;18;2309
Благовещенск;268637;72287;0.26908802584900815;5163.357142857143;19188;14;17;1;13;5561
Владимир;368424;108715;0.2950812107788852;3019.8611111111113;10234;36;40;1;33;3294
Архангельск;273651;84571;0.3090469247325974;4027.190476190476;13288;21;22;1;20;4229
Нижний;357187;120034;0.3360536637671584;3334.277777777778;10885;36;41;1;35;3430
Оренбург;204004;67368;0.33022881904276385;3742.6666666666665;11334;18;18;1;18;3743
Сочи;221033;80136;0.3625521980880683;3339.0;9210;24;29;1;23;3484
Реутов;83174;32836;0.3947868324235939;2985.090909090909;7561;11;12;1;11;2985
Астрахань;117308;43429;0.3702134551778225;3948.090909090909;11727;11;12;1;10;4343
Сургут;201455;60514;0.3003847012980566;4322.428571428572;14390;14;17;1;14;4322
Нижневартовск;154322;42465;0.2751713948756496;2123.25;10599;20;20;1;19;2235
Краснодар;310519;104407;0.33623385364502656;5220.35;19649;20;22;1;19;5495
Ставрополь;191589;59718;0.31169847955780344;2596.4347826086955;8330;23;24;1;23;2596
Санкт-Петербург;105562;28328;0.26835414258918927;2023.4285714285713;7540;14;14;1;14;2023
Рязань;378284;123454;0.3263526873988855;3741.030303030303;11550;33;36;1;32;3858
Чита;131664;37402;0.2840715761331875;2671.5714285714284;9405;14;15;1;14;2672
Клин;79802;23927;0.29982957820606;2658.5555555555557;8867;9;10;1;8;2991
Липецк;140326;46690;0.3327252255462281;2334.5;7981;20;24;1;20;2334
Дубна;386692;128344;0.331902392601864;4583.714285714285;13810;28;30;1;28;4584
Пенза;52515;16787;0.3196610492240312;4196.75;13129;4;4;1;4;4197
Иркутск;186645;63544;0.3404538026735246;4538.857142857143;14688;14;16;1;14;4539
Стерлитамак;47684;15494;0.32493079439644323;2213.4285714285716;6812;7;7;1;7;2213
Белгород;194236;56333;0.2900234765954818;4333.307692307692;14941;13;16;1;13;4333
Казань;99521;23446;0.2355884687653862;2131.4545454545455;9047;11;11;1;10;2345
Набережные;45814;16887;0.36859911817348406;1876.3333333333333;8046;9;9;1;8;2111
Улан-Удэ;85140;21768;0.25567300916138125;3109.714285714286;12163;7;7;1;6;3628
