Группа2;Выручка;Абсолютная маржа;Маржа;Средняя маржа;Средний чек;Кол-во чеков;Кол-во товаров;Среднее кол-во товаров в  чеке;Кол-во уникальных клиентов;Ценность клиента
КРУПНОГАБАРИТНЫЙ ТОВАР;138654014;43138521;0.3111234918882334;1875.017212152823;6944;23007;26697;1;20856;2068
ТЕКСТИЛЬ, ТРИКОТАЖ;49633293;17653538;0.3556793622377625;692.5128667817354;3665;25492;68056;3;19734;895
ИГРУШКИ;59885282;14225993;0.23755407881355556;362.2334173605276;2681;39273;86324;2;33364;426
КАНЦТОВАРЫ, КНИГИ, ДИСКИ;3846084;1000182;0.2600520425450926;145.14323030039182;2839;6891;18831;3;6129;163
ОБУВЬ;15027404;5243740;0.348945167109369;594.0568709640875;3516;8827;12813;1;7558;694
СОПУТСТВУЮЩИЕ ТОВАРЫ;309800;112465;0.36302453195610074;154.4848901098901;3608;728;888;1;687;164
ПОДГУЗНИКИ;64993978;19123084;0.294228551451336;565.4371377882909;3083;33820;46294;1;24429;783
ТОВАРЫ ДЛЯ КОРМЛЕНИЯ;12931344;2644120;0.20447371905039413;202.3354759718396;3424;13068;24631;2;11278;234
КОСМЕТИКА/ГИГИЕНА;9288236;2743716;0.295396886986937;182.95099019803962;3377;14997;39242;3;12061;227
ЖЕНСКИЕ ШТУЧКИ;107986;56778;0.5257903802344749;160.38983050847457;3923;354;732;2;328;173
ДЕТСКОЕ ПИТАНИЕ;38918185;24182962;0.6213794913611722;1112.7812442481134;3195;21732;101030;5;14455;1673
ТОВАРЫ ДЛЯ ЖИВОТНЫХ;3466642;730072;0.21059919080193457;322.32759381898455;2805;2265;5626;2;1863;392
ТЕХНИКА И ТОВАРЫ ДЛЯ ДОМА;20883;5899;0.28247857108652974;203.41379310344828;3506;29;36;1;29;203
