Группа2;Выручка;Абсолютная маржа;Маржа;Средняя маржа;Средний чек;Кол-во чеков;Кол-во товаров;Среднее кол-во товаров в  чеке;Кол-во уникальных клиентов;Ценность клиента
ТЕКСТИЛЬ, ТРИКОТАЖ;25955589;8750494;0.33713332415611913;621.1751260026975;2870;14087;35851;3;11429;766
ИГРУШКИ;35028032;7942742;0.2267538752962199;327.1175816482023;2214;24281;52944;2;21263;374
КРУПНОГАБАРИТНЫЙ ТОВАР;101678894;30759158;0.30251271222521364;1984.5898445060973;7116;15499;17629;1;14258;2157
ОБУВЬ;7135771;2342251;0.32824077454279293;520.268991559307;2449;4502;6174;1;4005;585
СОПУТСТВУЮЩИЕ ТОВАРЫ;195532;62324;0.3187406664893726;154.65012406947892;2787;403;492;1;391;159
ПОДГУЗНИКИ;35122199;9431073;0.26852171186661744;506.3663355704698;2698;18625;25704;1;14349;657
КОСМЕТИКА/ГИГИЕНА;4566475;1274706;0.27914441664522416;164.92508733341958;2717;7729;19093;2;6579;194
ЖЕНСКИЕ ШТУЧКИ;55315;32053;0.5794630751152491;168.7;2953;190;391;2;176;182
КАНЦТОВАРЫ, КНИГИ, ДИСКИ;2504180;644096;0.25720834764274136;145.42695868141791;2186;4429;11922;3;4008;161
ТОВАРЫ ДЛЯ КОРМЛЕНИЯ;7234398;1450956;0.20056347466644772;187.6317082632872;2779;7733;14213;2;6933;209
ДЕТСКОЕ ПИТАНИЕ;11039231;6712276;0.6080383678899373;965.6561645806358;2954;6951;27822;4;5221;1286
ТОВАРЫ ДЛЯ ЖИВОТНЫХ;2426923;488774;0.20139658324553353;300.9692118226601;2211;1624;3619;2;1347;363
ТЕХНИКА И ТОВАРЫ ДЛЯ ДОМА;12385;3207;0.25894226887363747;168.78947368421052;3712;19;22;1;19;169
