ВремяОкругл;Выручка;Абсолютная маржа;Маржа;Средняя маржа;Средний чек;Кол-во чеков;Кол-во товаров;Среднее кол-во товаров в  чеке;Кол-во уникальных клиентов;Ценность клиента
11;27965588;9291826;0.3322592752206748;1068.7630549804462;3513;8694;29413;3;8175;1137
12;29905635;9992242;0.33412572580384936;1073.8572810317035;3517;9305;31004;3;8742;1143
9;5514262;1830212;0.33190515793409886;948.2963730569949;3123;1930;5521;3;1853;988
10;23224844;7590513;0.32682729752673473;1019.6820257925847;3403;7444;23002;3;6950;1092
14;30084015;9887031;0.32864732317145834;1040.3020833333333;3473;9504;31004;3;8886;1113
13;22953924;7527257;0.32792898503976925;1030.848671596823;3444;7302;24428;3;6885;1093
17;29267863;9692706;0.3311723168855888;1017.2865239294711;3376;9528;32707;3;8919;1087
15;30055987;9970161;0.33171963376215197;1003.6401248238374;3323;9934;31754;3;9306;1071
16;29342976;9681429;0.3299402555487214;1026.118600953895;3432;9435;31008;3;8804;1100
18;30409111;10009544;0.32916266443961484;1049.4384566995177;3483;9538;30570;3;8886;1126
19;26357885;8812267;0.3343313395593008;1060.9519624367927;3459;8306;27638;3;7771;1134
20;22886345;7513025;0.32827544109817447;982.4800575389041;3296;7647;24836;3;7179;1047
21;20802205;6804110;0.3270859988159909;961.9835996041284;3233;7073;23233;3;6601;1031
22;19469071;6490437;0.33337168476092155;938.6026030368763;3093;6915;23565;3;6400;1014
23;17426958;5728474;0.3287133646618073;933.4322959100538;3162;6137;22809;4;5711;1003
2;11895749;3789575;0.31856548082848757;853.3156946633641;3057;4441;16950;4;4016;944
4;1681438;519114;0.308732168536693;766.7858197932053;2841;677;2613;4;638;814
5;990107;302382;0.30540335539492197;725.136690647482;2769;417;1421;3;387;781
6;1785027;561084;0.31432801856778636;865.8703703703703;2914;648;1872;3;613;915
7;3240793;1047790;0.3233128434923181;910.3301476976542;3034;1151;3187;3;1096;956
8;4777183;1524269;0.3190727673610159;827.9570885388376;2788;1841;4803;3;1761;866
0;5853228;1910080;0.326329334855912;916.5451055662188;3067;2084;5994;3;2002;954
3;1187875;383181;0.3225768704619594;727.0986717267552;2515;527;1853;4;488;785
1;5059;2360;0.4664953548132042;1180.0;2554;2;15;8;2;1180
